novel_id,title,author,ranking,overall_score,story_score,writing_score,character_score,feedback,evaluation_date
16818093077523206286,白銀砂漠の魔術師は、呪われた少女と疑似家族の夢を見る,不明,69,8.2,7.8,8.2,8.5,異世界転生と呪われた赤ん坊の保護という設定にオリジナリティがある。文章は軽妙で読みやすく、キャラクターの描写も魅力的。特に主人公と恩師の関係性や赤ん坊への接し方に深みを感じる。戦闘シーンの描写も臨場感があり、今後の展開が期待できる。,2025-04-04 13:04:11.940889
16818093090029707259,小物貴族が性に合うようです,不明,1,8.0,7.5,8.0,8.5,転生ものの定番を踏襲しつつ、節約家の主人公と小物貴族のギャップが新鮮。文章は読みやすく、キャラクターの成長が楽しみ。クロンの視点が物語に深みを与えている。,2025-04-02 07:44:37.657413
16817330668503046681,【書籍化決定】魔術漁りは選び取る,不明,95,7.8,7.5,8.2,7.8,戦場という過酷な環境で生きる少年の日常と、魔術滓への純粋な愛着が対比的に描かれており、物語の基盤は興味深い。文章は情景描写が豊かで読みやすいが、キャラクターの深みをもっと掘り下げると良い。,2025-04-04 13:09:17.298712
16818093093958844241,排水溝につまったスライムを日々かたづけるだけの底辺職、なぜか実力者たちの熱い視線を集めてしまう,不明,38,7.5,7.5,8.0,7.0,転生ものとしては珍しい地味な職業を選んだ主人公の設定が新鮮。文章は読みやすく、主人公の内面描写が丁寧。ただし、キャラクターの成長や深みにはまだ改善の余地がある。,2025-04-04 12:58:15.794640
16818622170233938489,とっとと追放されて死にゲーから逃げたいモブ vs その輝きに瞳を焼かれて病んじゃったパーティー,不明,11,7.5,7.5,8.0,7.0,ゲーム世界への転生という設定はやや陳腐だが、主人公の「追放」を目指す逆転の発想に新鮮さがある。文章は流麗で情景描写が効果的。キャラクターの心理描写は深いが、ヒロインの反応にやや唐突さを感じる。,2025-04-04 12:53:07.367574
16818622171979183070,汝、現代ダンジョンに希望を持つべからず,不明,8,7.5,7.5,8.0,7.0,現代ダンジョンという設定にオリジナリティがあり、ストーリー展開も興味深い。文章は読みやすく、キャラクターの描写も生き生きしているが、深みにやや欠ける。全体的にバランスの取れた作品。,2025-04-04 12:52:37.361542
16817330668938362906,【カクヨムコン受賞】仮面の黒騎士。正体バレたのでもう学園でも無双する,不明,44,7.0,6.5,7.0,7.5,ストーリーは典型的な学園無双ものだが、主人公の二面性に工夫が見られる。文章は軽妙で読みやすいが、深みに欠ける。キャラクターは特にメイドのエレシアが際立っており、今後の成長が期待できる。,2025-04-04 12:59:28.089529
16818093086835408578,勇者は自由奔放に憧れている,不明,27,7.0,6.5,7.2,7.8,異世界転生ものの定番を逆手に取った設定が新鮮。主人公のやさぐれ具合とヴィオラのキャラクター対比が効果的だが、ストーリー展開にやや説明的な部分が目立つ。文章は読みやすく、キャラクターの心情描写が秀でている。,2025-04-04 12:56:13.271738
16818093087479543721,世界最強の極悪貴族は、謙虚堅実に努力する～原作知識と固有魔法＜虚空＞を駆使して、破滅エンドを回避します～,不明,13,7.0,6.5,7.2,7.8,転生ものの定番設定だが、原作知識を活かした破滅回避のストーリーは新鮮。主人公の成長と周囲の反応が丁寧に描かれ、キャラクターの魅力が際立つ。文章は読みやすく、転生後の心理描写が効果的。,2025-04-04 12:53:34.505518
1177354054895223219,学年一の美少女は、夜の方が凄かった,不明,81,6.8,6.5,7.2,6.8,ストーリー性は高校生の日常と非日常の融合にオリジナリティがあるが、展開がやや予測可能。文章力は会話のリズムが良く読みやすいが、描写が散漫な部分も。キャラクターは主人公の内面描写が浅く、ヒロインの魅力も十分に引き出せていない。,2025-04-04 13:06:38.578066
16817330661274615404,住んでる場所が田舎すぎて、ダンジョン探索者が俺一人なんだが？,不明,99,6.8,6.5,7.2,6.8,田舎のダンジョン探索者という設定にオリジナリティがあるが、ストーリー展開がやや単調。キャラクターの会話は生き生きしているが、深みに欠ける。文章は読みやすく、軽妙なテンポが作品の魅力を引き立てている。,2025-04-04 13:10:06.210907
16817330668895916545,ダンジョン攻略に３年も掛かってしまった俺は王都に戻ると死亡扱いになっていた。,不明,72,6.8,6.5,7.2,6.8,転生ものの定番設定だが、主人公の二重生活と変装魔法の仕組みに工夫が見られる。文章は軽妙で読みやすいが、キャラクターの描写や会話がややステレオタイプ。全体的にはエンタメ作品としての楽しさはあるが、深みに欠ける部分も。,2025-04-04 13:04:46.243889
16818093085207832861,異端のダークヒーラー、魔国幹部として人類を衰退に導くようです～金と知識を求めていただけなのに、なぜか伝説になっていました～,不明,87,6.8,6.5,7.2,6.8,戦争下の異端者ヒーラーという設定にオリジナリティがある。文章は読みやすく、緊迫感のあるシーン描写が効果的。主人公のキャラクター性は明確だが、他の登場人物の掘り下げが浅い。全体的にバランスは取れているが、深みを増す余地がある。,2025-04-04 13:07:50.674101
16818093094077485474,【書籍化決定】羅刹の銀河　～取り返しのつかないタイミングで冒頭で死ぬキャラになったので本当に好き放題したら英雄になった～,不明,73,6.8,6.5,7.2,6.8,ゲーム世界観の設定は詳細で興味深いが、ストーリー展開がやや予測可能。文章は軽妙で読みやすいが、キャラクターの深みに欠ける。全体として娯楽性は高いが文学的深さは不足。,2025-04-04 13:04:57.408210
16818093094279098960,最弱の猫ですが、進化を繰り返せば最強になれますか？,不明,9,6.8,6.5,7.2,6.8,転生ファンタジーとしての設定は一般的だが、母猫との関係性に情感がある。文章は読みやすく、キャラクターの心情描写が細やか。進化システムの導入はやや唐突だが、今後の展開に期待させる。,2025-04-04 12:52:46.655975
16818093094470119876,ぼっちなS級探索者、学生時代に戻ったので青春をやり直す～最強ぼっちは学校一の美少女たちにガチ恋されてるようです～,不明,10,6.8,6.5,7.2,6.8,タイムリープと青春ものの組み合わせにオリジナリティがあるが、展開がやや予測可能。文章は読みやすく、キャラクターの設定は魅力的だが、深みに欠ける部分がある。,2025-04-04 12:52:56.288181
16818622170501058588,Ｇ級覚醒者だけど、うちの召喚獣が強すぎる,不明,4,6.8,6.5,7.2,6.8,現代ファンタジーの設定に現実的な社畜生活を組み合わせたオリジナリティは評価できる。文章は読みやすく、主人公の内面描写が効果的だが、ストーリー展開やキャラクターの深みにやや物足りなさを感じる。召喚獣の登場シーンは今後の展開に期待させる。,2025-04-04 12:34:08.924399
16818622170990767935,貧乏家族の長男ですが、家族のために頑張ってたら魔法の才能が覚醒しました,不明,14,6.8,6.5,7.2,6.8,貧困と家族愛を軸にした設定は共感を誘うが、魔法覚醒の展開がやや陳腐。文章は読みやすく描写力があるが、キャラクターの掘り下げが不足している。全体として標準的なライトノベル品質。,2025-04-04 12:53:47.270437
